"General","Geral"
"Enable","Habilitar"
"Studies - Vitor Morais","Estudos - Vitor Morais"
"No","Não"
"Yes","Sim"
"WhatsApp Number","Número do WhatsApp"
"Example: 5511999999999","Exemplo: 5511999999999"
"Right","Direita"
"Left","Esquerda"
"Position","Posição"
"Choose in which position the WhatsApp icon will appear on the website","Escolha em qual posição irá aparecer o icone do WhatsApp no site"
"Fill WhatsApp icon color in hexadecimal. Example: #2CB742","Preencha a cor do ícone do WhatsApp em hexadecimal. Exemplo: #2CB742"
"Fill WhatsApp background icon color in hexadecimal. Example: #FFFFFF","Preencha a cor de fundo do ícone do WhatsApp em hexadecimal. Exemplo: #FFFFFF"
"Icon background color","Cor de fundo do ícone"
"Icon color","Cor do ícone"
"Open in new tab?","Abrir em uma nova guia?"
"If you want to click on the icon to open the link in a new tab, set this option to YES.","Caso queira que ao clicar no ícone abre o link em uma nova guia, configure essa opção como SIM."
"Icon size","Tamanho do ícone"
"Fill in the icon size you want. Example: 50px","Preencha o tamanho do ícone que deseja. Exemplo: 50px"
